id	priority	title	location	message
feat-008436590c22	P2	Return type is raw i32 instead of enum	syncthing-rs/src/bep_compat.rs:329	The Go method returns the strongly-typed enum `FileDownloadProgressUpdateType`, while the Rust method returns a bare `i32`. This loses type-level discrimination and means callers cannot match on named variants; it also risks accepting out-of-range values that the Go enum type would surface during protobuf validation or `String()`/`Enum()` calls, degrading wire-schema fidelity.
feat-008436590c22	P2	Missing nil-receiver default value path	syncthing-rs/src/bep_compat.rs:329-331	The Go getter returns the default enum value `FILE_DOWNLOAD_PROGRESS_UPDATE_TYPE_APPEND` (protobuf field-default / zero value 0) when the receiver is nil. The Rust port takes `&self`, so a nil-receiver call is impossible at the language level; however, the port does not document or enforce that a default-constructed `FileDownloadProgressUpdate` initialises `UpdateType` to the equivalent zero-value constant. If the Rust struct is ever constructed with an uninitialised or non-zero default for `UpdateType` (e.g. via `Default` derive that uses a different sentinel), the observable default-path behavior will diverge from Go.
feat-0f3a6c6fe0ce	P0	FlagLocalReceiveOnly incorrectly cleared	syncthing-rs/src/folder_core.rs:2043	Go explicitly preserves FlagLocalReceiveOnly on deleted items (lines 82-84 comment: "Purposely not removing FlagLocalReceiveOnly as the deleted item should still not be sent in index updates"). Rust does the opposite at line 2043, unconditionally clearing the flag via `local.local_flags &= !db::FLAG_LOCAL_RECEIVE_ONLY`. This inverts the intended index-update suppression behavior and will cause reverted items to be incorrectly advertised to peers.
feat-0f3a6c6fe0ce	P0	Entirely different revert algorithm — spurious global lookup and merge	syncthing-rs/src/folder_core.rs:2044-2056	Go never looks up the global file entry; it simply marks every qualifying local file as deleted with a zeroed version vector, relying on a subsequent pull to restore the correct global state. Rust introduces an unrelated algorithm that queries the global file (line 2044), conditionally merges it into the update set (lines 2050-2055), and only marks the local as deleted when the global also has the receive-only flag. This changes which records are persisted and what their content is, breaking the "delete-then-pull" revert contract.
feat-0f3a6c6fe0ce	P0	No filesystem deletion of unexpected items	syncthing-rs/src/folder_core.rs:2039-2063	Go removes non-directory files from the filesystem via `inWritableDir(f.mtimefs.Remove, fi.Name)` (Go line 72) before marking them deleted in the database. Rust performs no filesystem I/O at all, so reverted files remain on disk even though the database considers them deleted, causing persistent inconsistency between disk and DB state.
feat-0f3a6c6fe0ce	P0	Version vector not zeroed	syncthing-rs/src/folder_core.rs:2061-2063	Go explicitly sets `fi.Version = protocol.Vector{}` (Go line 80) so that the subsequent pull will treat the file as needing the global version. Rust never zeroes the version vector, so the puller may consider the local version sufficient and skip re-downloading the correct content.
feat-0f3a6c6fe0ce	P1	Deleted files not filtered out	syncthing-rs/src/folder_core.rs:2040-2042	Go skips files that are already deleted (`fi.IsDeleted()` at Go line 63). Rust only checks for the FLAG_LOCAL_RECEIVE_ONLY bit and does not skip deleted files, so already-deleted entries will be redundantly processed and potentially re-persisted with a new sequence number, corrupting sequence ordering expectations.
feat-0f3a6c6fe0ce	P1	No directory collection or revertHandleDirs call	syncthing-rs/src/folder_core.rs:2039-2064	Go separates directories from files, collecting directory names (Go lines 67-70) and passing them to `revertHandleDirs` (Go line 88) for depth-ordered removal. Rust has no directory-specific handling; directories are processed identically to files, meaning directory entries on disk are never removed and the depth-first deletion order required to successfully remove nested directory trees is absent.
feat-0f3a6c6fe0ce	P1	Missing FolderScanning/FolderIdle state transitions	syncthing-rs/src/folder_core.rs:2022-2072	Go sets the folder state to FolderScanning before iterating and defers FolderIdle (Go lines 46-47), which is observable by the UI and other subsystems that gate operations on folder state. Rust performs no state transitions, so concurrent operations and UI status reporting will behave incorrectly during a revert.
feat-0f3a6c6fe0ce	P2	SetDeleted semantics differ — missing shortID	syncthing-rs/src/folder_core.rs:2047	Go calls `fi.SetDeleted(f.shortID)` (Go line 76) which stamps the file's modified-by field with the local device short ID. Rust sets `local.deleted = true` without recording a modifier identity, which may cause downstream version-vector or conflict-resolution logic to behave differently when comparing deletion origins.
feat-1b2753f77785	P1	Return type loses protobuf reflection capability	syncthing-rs/src/bep_compat.rs:35	Go returns `protoreflect.Message`, a rich interface providing descriptor access, dynamic field enumeration, and schema-aware operations used throughout the protobuf runtime for marshaling, merging, and protocol negotiation. The Rust implementation returns a generic `Value` (likely serde-based), which discards all protobuf descriptor metadata and reflection capabilities. Any downstream code relying on `protoreflect.Message` methods such as `Descriptor()`, `Range()`, `Get()`, `NewField()`, or `WhichOneof()` will have no equivalent path in the Rust port, breaking protocol-state-transition and index-sequence-behavior scenarios that inspect or manipulate messages reflectively.
feat-1b2753f77785	P2	Nil receiver path absent	syncthing-rs/src/bep_compat.rs:35	Go lines 462-469 explicitly handle a nil receiver: when `x == nil`, the method returns `mi.MessageOf(x)`, yielding a valid zero-value protobuf reflection rather than panicking. The Rust signature `&self` guarantees a valid reference, meaning any call site that in Go would invoke `ProtoReflect` on a nil `*Hello` (e.g., during crash-recovery deserialization of incomplete state) has no equivalent safe path and would require an `Option` wrapper at the call site that is not present, risking a divergence in crash-recovery scenarios.
feat-1b2753f77785	P2	Lazy message-info initialization elided	syncthing-rs/src/bep_compat.rs:36	Go lines 463-466 perform lazy initialization of the message's type metadata via `LoadMessageInfo`/`StoreMessageInfo`, ensuring the global `msgTypes` descriptor is attached to the concrete message state exactly once per instance. The Rust `as_value(self)` call performs no equivalent registration, so if any part of the system later queries cached type metadata on the same instance (as the Go protobuf runtime does for efficient re-serialization and merge operations under the memory-cap-50mb constraint), the Rust port will either redundantly recompute or lack the metadata entirely.
feat-2be9680853d4	P1	Version field flattened from Vector to i64	syncthing-rs/src/bep_core.rs:143	Go's FileDownloadProgressUpdate.Version is *Vector (bep.pb.go:1865), a protobuf message containing Counters []*Counter (bep.pb.go:1239), representing a multi-entry vector clock. The Rust port declares Version as i64 (bep_core.rs:143), a single scalar that cannot represent multiple counter entries. Any DownloadProgress message whose FileDownloadProgressUpdate carries a version vector with more than one counter will lose data during deserialization, breaking wire compatibility and the scenario/index-sequence-behavior and scenario/protocol-state-transition parity tests.
feat-2be9680853d4	P2	Clone returns independent copy vs Go shared slice	syncthing-rs/src/bep_compat.rs:308	Go returns []*FileDownloadProgressUpdate (bep.pb.go:1851), a slice of pointers that share identity with the DownloadProgress.Updates backing array; mutations to returned elements are visible through the original struct. The Rust port calls self.Updates.clone() (bep_compat.rs:308), producing a fully independent deep copy. Any caller that mutates an element of the returned Vec expecting the change to propagate back to the DownloadProgress instance will silently diverge from Go behavior, which can surface under scenario/crash-recovery if updates are modified in-place after retrieval.
feat-2be9680853d4	P3	Nil-receiver guard absent	syncthing-rs/src/bep_compat.rs:307	Go guards against a nil receiver (bep.pb.go:1852) and returns nil, whereas Rust takes &self (bep_compat.rs:307) which cannot be null. If any call site in Go passes a nil *DownloadProgress and relies on receiving a nil slice (distinct from an empty slice), the Rust port will panic or require an Option wrapper that is not present today. Risk is low because Rust's type system prevents this at compile time, but the nil-vs-empty semantic gap could matter for downstream nil-checks ported from Go.
feat-1ccb621f2319	P1	device param type mismatch: DeviceID ([32]byte) vs &str	syncthing-rs/src/db.rs:214	Go's `SetIndexID` accepts `device protocol.DeviceID`, a `[32]byte` fixed-size binary array that enforces a 32-byte length invariant at the type level and preserves arbitrary byte content. The Rust port uses `device: &str`, a variable-length UTF-8 string, which removes the fixed-length guarantee, rejects valid DeviceIDs containing non-UTF-8 byte sequences, and accepts arbitrarily long or short strings that would be impossible in Go. Any caller passing a binary DeviceID that is not valid UTF-8 will fail in Rust but succeed in Go, breaking semantic equivalence on edge-case inputs and wire/schema compatibility when the device parameter is serialized or used as a storage key.
feat-34938ed53bc1	P2	Return-type mismatch: void vs bool	syncthing-rs/src/bep_compat.rs:31	The Go method `ProtoMessage()` is a no-op marker with no return value (signature `func (*Hello) ProtoMessage() {}`), used solely to satisfy the `proto.Message` interface. The Rust port changes the signature to return `bool` (always `true`). This is a type-fidelity violation: the canonical protobuf marker method is unit-returning, and introducing a `bool` return creates an API surface that does not exist in Go, meaning any Rust caller branching on the return value has no behavioral counterpart and any automated signature-compatibility check (e.g., trait conformance mirroring `proto.Message`) will disagree on the return type.
feat-1d61922a07e9	P1	Symbol mismatch in mapping metadata	internal/gen/bep/bep.pb.go:447	The mapping declares Go symbol `FileDownloadProgressUpdate.Reset` but the Go source window at lines 447-452 contains `Hello.Reset()`, not `FileDownloadProgressUpdate.Reset`; this means either the Rust `Reset` at bep_compat.rs:39 is mapped to the wrong Go method, or the source window is incorrect, and the actual `FileDownloadProgressUpdate.Reset` behavior has not been verified against this Rust implementation.
feat-38cb9371bc29	P0	Revert logic replaced with scheduling flags	syncthing-rs/src/folder_core.rs:499-502	The Go `Revert` method calls `f.doInSync(f.revert)`, which executes the full `revert` function inside a synchronization wrapper. The `revert` method (defined elsewhere in `folder_recvonly.go`) performs the actual revert operation: iterating over locally-changed files, restoring them to the global state, and updating the database. The Rust implementation replaces this entire operation with setting two boolean flags (`scanScheduled` and `pullScheduled`), which merely schedules future scan and pull cycles but never performs the core revert logic—deleting local overrides, restoring global versions, and emitting the corresponding database mutations. This is a complete behavioral gap, not a deferred implementation.
feat-38cb9371bc29	P1	Missing doInSync synchronization wrapper	syncthing-rs/src/folder_core.rs:499	The Go code executes the revert through `doInSync`, which acquires the folder's operation lock, runs the provided function, and handles state transitions (e.g., setting folder state to syncing/idle and emitting events). The Rust `Revert` takes `&mut self` but has no equivalent synchronization or state-transition envelope, meaning concurrent callers could observe or mutate inconsistent folder state even if the revert logic were later filled in.
feat-3302eeb38482	P0	Rust function accepts no parameters	syncthing-rs/src/model_core.rs:1434	The Go function signature accepts four parameters (global db.Counts, need db.Counts, sequence int64, state remoteFolderState) and uses them to populate every field of FolderCompletion. The Rust function takes zero parameters, making it impossible to replicate the Go behavior; all callers will receive a default-initialized struct with zero/empty values instead of the computed values derived from global and need counts, the sequence number, and the remote folder state.
feat-3302eeb38482	P0	All field assignments missing	syncthing-rs/src/model_core.rs:1435	The Go function assigns GlobalBytes from global.Bytes, NeedBytes from need.Bytes, GlobalItems as the sum of global.Files+global.Directories+global.Symlinks, NeedItems as the sum of need.Files+need.Directories+need.Symlinks, NeedDeletes from need.Deleted, Sequence from the sequence parameter, and RemoteState from the state parameter. The Rust function returns FolderCompletion::default(), so none of these seven fields are populated, producing semantically wrong completion data for every caller.
feat-3302eeb38482	P0	Missing setCompletionPct call	syncthing-rs/src/model_core.rs:1435	The Go function calls comp.setCompletionPct() at line 834 before returning, which computes the completion percentage from GlobalBytes and NeedBytes (typically as (GlobalBytes-NeedBytes)/GlobalBytes * 100). The Rust function never invokes any equivalent computation, so the CompletionPct field will remain at its default value (likely 0.0) rather than reflecting the actual ratio, breaking all downstream consumers that rely on the completion percentage.
feat-347032328f00	P2	Clear-before-persist split-brain on error	syncthing-rs/src/db.rs:1092	In the Rust implementation, `self.index_ids.clear()` (line 1092) irrevocably empties the in-memory map before `self.persist_runtime_metadata()` (line 1093) attempts the disk write. If persistence fails, the caller receives an error yet all subsequent in-memory reads via `get_index_id` will return 0, while the on-disk `runtime-meta.json` still contains the old index IDs — a restart would silently restore them. The Go implementation (`internal/db/sqlite/folderdb_indexid.go:87`) uses a single SQL `DELETE FROM indexids` statement which is atomically committed by SQLite; a failure leaves both the query path and the on-disk state unchanged. This split-brain violates the crash-recovery parity requirement and can cause the Rust port to silently skip a full re-index after a failed drop followed by a restart.
feat-3a564000a236	P1	Output format mismatch: proto text vs JSON	syncthing-rs/src/bep_compat.rs:43-44	Go ClusterConfig.String() at internal/gen/bep/bep.pb.go:581-582 delegates to protoimpl.X.MessageStringOf(x) which produces the protobuf text format representation (e.g. "folders:{id:\"abc\" devices:{...}}"), while the Rust impl_proto_common! macro at bep_compat.rs:43-44 calls as_json_string(self) which delegates to serde_json::to_string producing JSON (e.g. "{\"Folders\":[{\"Id\":\"abc\"}]}"). These are structurally different serialization formats with different field naming conventions (proto uses lowercase snake_case from the .proto schema; serde uses the Rust struct field names which are PascalCase). Any caller that parses, logs, compares, or transmits the String() output will observe incompatible results between Go and Rust, breaking the scenario/protocol-state-transition and scenario/crash-recovery parity tests if String() output is persisted or compared across implementations.
feat-3a564000a236	P2	Enum String format divergence	syncthing-rs/src/bep_compat.rs:145-146	The Go snippet provided (lines 66-68) is actually MessageType.String() which uses protoimpl.X.EnumStringOf to return the protobuf enum value name (e.g. "MESSAGE_TYPE_CLUSTER_CONFIG" for value 0). The Rust impl_enumish! macro at bep_compat.rs:145-146 uses format!("{}({})", $name, self.Number()) producing "MessageType(0)" instead. This applies to all eight enum types expanded via impl_enumish! (Compression, ErrorCode, FileDownloadProgressUpdateType, FileInfoType, FolderStopReason, FolderType, MessageCompression, MessageType). Any code path that matches on or logs the enum string will see different values, affecting diagnostic output and any enum-name-based protocol negotiation.
feat-3a564000a236	P2	Nil-receiver divergence	internal/gen/bep/bep.pb.go:581	Go ClusterConfig.String() has a pointer receiver (*ClusterConfig) and protoimpl.X.MessageStringOf handles nil gracefully by returning an empty string. The Rust implementation at bep_compat.rs:43 takes &self which cannot be null; callers that previously relied on nil-safe String() in Go will need an Option wrapper or will panic if the equivalent None path is exercised. This affects crash-recovery scenarios where partially-initialized state may call String() on a nil message.
feat-1727d1eb48da	P1	Output format mismatch: prototext vs JSON	syncthing-rs/src/bep_compat.rs:42-44	Go Index.String() at internal/gen/bep/bep.pb.go:829 calls protoimpl.X.MessageStringOf(x) which produces the canonical protobuf text format (prototext), e.g. folder:"default" files:{name:"foo"} last_sequence:42. The Rust port calls as_json_string(self) which emits serde_json JSON, e.g. {"Folder":"default","Files":[...],"LastSequence":42}. These are entirely different serialization formats with different syntax, different field-name casing (proto snake_case vs Rust PascalCase), and different zero-value elision semantics (proto3 text format omits zero-value fields; serde_json includes them by default). Any code path that logs, compares, or round-trips through String() output will observe incompatible strings, breaking the scenario/protocol-state-transition and scenario/index-sequence-behavior parity tests that depend on consistent stringification.
feat-1727d1eb48da	P2	Wrong Go snippet in mapping metadata	internal/gen/bep/bep.pb.go:66-68	The mapping header declares the Go symbol as Index.String and cites source lines 66-68, but those lines contain MessageType.String() (an enum helper using EnumStringOf), not Index.String(). The actual Index.String() is at line 829-831 and calls MessageStringOf, a fundamentally different protobuf API. This metadata error could cause reviewers or automated tooling to validate against the wrong Go implementation.
feat-4204b85a170d	P1	Mapping references wrong Go struct	internal/gen/bep/bep.pb.go:852	The Go source window (lines 852-857) contains `Index.GetFolder`, not the declared target symbol `IndexUpdate.GetFolder`. The actual `IndexUpdate.GetFolder` is at line 914. This mis-mapping means automated parity checks against this mapping ID would validate the wrong Go method, potentially masking regressions in the real `IndexUpdate.GetFolder`.
feat-4204b85a170d	P1	Mapping references wrong Rust impl block	syncthing-rs/src/bep_compat.rs:302	The Rust source reference (lines 302-304) points to `DownloadProgress.GetFolder`, not `IndexUpdate.GetFolder`. The actual `IndexUpdate.GetFolder` is at line 730 within `impl IndexUpdate`. Any automated verification trusting this mapping would compare two unrelated structs (`Index` in Go vs `DownloadProgress` in Rust) instead of the intended `IndexUpdate` on both sides.
feat-351203b7d474	P1	Rust Revert adds side-effects absent in Go no-op	syncthing-rs/src/folder_core.rs:497-498	The Go method `folder.Revert` at lib/model/folder.go:264 is an intentional no-op (empty body), meaning calling it produces zero state changes. The Rust implementation at syncthing-rs/src/folder_core.rs:496-499 clears `forcedRescanPaths` and sets `scanScheduled = true`, introducing two side effects that have no counterpart in the Go source. This means any caller of `Revert` in the Rust port will mutate folder state (triggering a rescan and discarding forced-rescan paths) where the Go original deliberately does nothing, breaking semantic equivalence and potentially causing spurious rescans or data loss in the `scenario/folder-type-behavior` and `scenario/crash-recovery` parity tests.
feat-398f420187ec	P1	Return type bool→usize breaks retry semantic	syncthing-rs/src/folder_core.rs:253	Go returns (bool, error) where the bool communicates "true when successful and should not be retried"; Rust returns Result<usize, String> whose Ok variant is usize, not bool. Callers in Go branch on a boolean to decide whether to retry the pull; Rust callers receive a count with no defined mapping to the retry/no-retry decision, so every call-site that inspects the return value will mis-interpret the success signal unless an ad-hoc convention (e.g. 0 vs non-zero) is layered on top, which is undocumented and fragile.
feat-398f420187ec	P1	Missing context.Context cancellation channel	syncthing-rs/src/folder_core.rs:253	Go's pull accepts a context.Context as its first parameter, enabling cooperative cancellation, deadline propagation, and value passing (e.g. tracing IDs). The Rust signature omits any cancellation token or CancellationToken equivalent, so long-running pulls cannot be cancelled by the caller, breaking behavioral parity in shutdown, folder-pause, and timeout scenarios exercised by the crash-recovery and folder-type-behavior test suites.
feat-398f420187ec	P2	Extra folder_id parameter widens interface contract	syncthing-rs/src/folder_core.rs:253	Go's puller.pull takes only a context; the puller implementation already knows its folder identity via struct state. The Rust signature adds a folder_id: &str parameter, meaning the caller must supply a folder identifier that does not exist in the Go contract. This shifts responsibility to the caller, risks mismatched folder IDs being passed at call-sites, and makes the trait non-equivalent to the Go interface for any generic dispatch code.
feat-398f420187ec	P2	Error type loses structured error identity	syncthing-rs/src/folder_core.rs:253	Go returns the error interface, which supports errors.Is/errors.As for typed matching (e.g. distinguishing ErrFolderPaused from network errors). Rust uses plain String, discarding error identity. Downstream code that needs to branch on specific error kinds (as the Go model layer does for conflict-and-ignore-semantics and global-need-decision scenarios) cannot do so without string-matching, which is brittle and locale-sensitive.
feat-35b14ec74ce8	P0	Return type collapses error and not-found	syncthing-rs/src/model_core.rs:559	Go returns (protocol.FileInfo, bool, error) at lib/model/model.go:114, providing three distinguishable outcomes: (file, true, nil) for found, (zero, false, nil) for not-found, and (zero, false, err) for errors such as folder-not-configured or DB failure. The Rust implementation returns Option<db::FileInfo>, which collapses the not-found case (bool=false, err=nil) and every error case (err!=nil) into a single None. Callers that must distinguish "folder does not exist" from "file not present in folder" — required by scenario/daemon-api-surface and scenario/folder-type-behavior — cannot do so through this signature.
feat-35b14ec74ce8	P1	Lock-poisoning error silently swallowed	syncthing-rs/src/model_core.rs:562	The .ok()? on the RwLock read guard converts a lock-poisoning PoisonError into None, making it indistinguishable from a missing file. The Go equivalent would surface this as an error in the error return value, allowing callers and crash-recovery paths to detect and handle the corruption. This silent swallowing violates scenario/crash-recovery expectations.
feat-35b14ec74ce8	P2	Visibility narrowed from public to pub(crate)	syncthing-rs/src/model_core.rs:559	The Go interface method CurrentFolderFile is exported (uppercase) and is part of the public Model interface at lib/model/model.go:114, making it callable by any package including the REST API layer. The Rust function is declared pub(crate), restricting access to the crate only. If the REST/API layer or any external consumer resides in a separate crate, it will not be able to call this method, breaking scenario/daemon-api-surface parity.
feat-35b14ec74ce8	P2	Hardcoded "local" device string instead of typed local device ID	syncthing-rs/src/model_core.rs:563	The Rust implementation passes the string literal "local" as the device argument to get_device_file. In Go, CurrentFolderFile resolves the local device via protocol.LocalDeviceID, a typed [32]byte constant. If the Rust DB layer does not consistently map the string "local" to the same canonical local-device identity used during index insertion, lookups will silently return None for files that exist, causing silent data loss in scenario/global-need-decision and scenario/index-sequence-behavior.
feat-548fbf6dbdba	P1	Lazy iterator replaced by eager Vec	syncthing-rs/src/db.rs:180	Go returns `(iter.Seq[protocol.FileInfo], func() error)` — a lazy, streaming iterator with a deferred error callback invoked after iteration completes. Rust returns `Result<Vec<FileInfo>, String>`, which eagerly materializes all results into memory before the caller sees any item and surfaces errors immediately rather than deferring them. This breaks streaming semantics, changes error-reporting timing, and will fail the `scenario/memory-cap-50mb` parity test when the needed-file set is large, since Go can process items one at a time without holding the full result set in memory.
feat-548fbf6dbdba	P1	Signed limit/offset changed to unsigned usize	syncthing-rs/src/db.rs:178-179	Go declares `limit, offset int` (signed, 64-bit on 64-bit platforms). Rust uses `usize` (unsigned). In Go, callers can pass negative values (e.g., `limit = -1` is a common idiom meaning "no limit"); the Rust signature cannot represent this, so any call-site that relies on negative sentinel values will either fail to compile or require a different convention, silently altering pagination/filtering behavior.
feat-548fbf6dbdba	P2	DeviceID downgraded to plain string	syncthing-rs/src/db.rs:176	Go's `device` parameter is `protocol.DeviceID`, a fixed-size 32-byte array with built-in validation, formatting, and binary-safe comparison. Rust accepts `&str`, a variable-length UTF-8 string with no compile-time size or format guarantee. This loses type-level validation, may produce different ordering/comparison semantics for device identifiers, and risks wire/schema incompatibility if the string encoding does not exactly match the canonical Luhn-checksummed base32 representation expected elsewhere.
feat-37b270e49fa4	P0	Missing return type and error signaling	syncthing-rs/src/folder_core.rs:270	Go Update returns (bool, error) allowing callers to detect skipped files (false) and propagate database errors; Rust returns unit, so every caller unconditionally treats the file as accepted and no error path exists, breaking all callers that branch on the bool or handle the error.
feat-37b270e49fa4	P0	Missing encrypted-parent-directory cleanup	syncthing-rs/src/folder_core.rs:270-272	Go lines 633-638 check whether the folder is ReceiveEncrypted, the FileInfo is a directory, and the path matches an encrypted parent pattern; if the on-disk directory is empty it is removed and the method returns (false, nil), preventing the item from entering the batch. The Rust implementation has no such guard, so encrypted parent directories will be unconditionally appended to the update batch, corrupting receive-encrypted folder state.
feat-37b270e49fa4	P0	Missing GetGlobalFile lookup and receive-only resolution	syncthing-rs/src/folder_core.rs:270-272	Go lines 641-665 perform a database lookup via GetGlobalFile and execute a four-branch type-switch: propagate DB error, no-op when global not found, call Remove and return (true, nil) when the global item is receive-only-changed and the local item is deleted, and replace the local FileInfo with the global FileInfo when the folder is ReceiveOnly/ReceiveEncrypted and the two are equivalent. The entire block is absent in Rust, meaning deleted receive-only files are never pruned, equivalent local-changed items are never merged back to the global version, and DB errors are silently swallowed.
feat-37b270e49fa4	P1	Missing batch Remove call for deleted receive-only items	syncthing-rs/src/folder_core.rs:270-272	Go line 649 calls b.Remove(fi.Name) to schedule removal of the file when it is deleted and the global entry is a receive-only-changed item. Rust has no Remove invocation, so stale deleted receive-only entries will persist in the database and never be cleaned up, directly affecting the crash-recovery and conflict-and-ignore-semantics parity tests.
feat-37b270e49fa4	P1	FileInfo replacement with global entry missing	syncthing-rs/src/folder_core.rs:271	Go line 664 reassigns fi = gf so that the item appended to the batch is the global FileInfo (not the local scan result) when the two are equivalent on a ReceiveOnly or ReceiveEncrypted folder. Rust always pushes the original file argument, so the batch will contain locally-scanned metadata instead of the canonical global metadata, causing version-vector and flag divergence on receive-only folders.
feat-4497572379e1	P0	Scope changed from all-devices to single-device lookup	syncthing-rs/src/model_core.rs:422	Go `DeviceStatistics()` takes no arguments and returns statistics for every known device as `map[protocol.DeviceID]stats.DeviceStatistics`. The Rust port adds a `device: &str` parameter and returns data for only that one device. This breaks every caller that expects an aggregate map of all device statistics in a single call and changes the fundamental API contract from "enumerate all" to "point lookup."
